I,11,ACEH
"",11.74, 22 KOTA LANGSA
"",11.74.01, 1 Langsa Timur
"",11.74.02, 2 Langsa Barat
"",11.74.03, 3 Langsa Kota
"",11.74.04, 4 Langsa Lama
"",11.74.05, 5 Langsa Baro
"",11.75, 23 KOTA SUBULUSSALAM
"",11.75.01, 1 Simpang Kiri
"",11.75.02, 2 Penanggalan
"",11.75.03, 3 Rundeng
"",11.75.04, 4 Sultan Daulat
"",11.75.05, 5 Longkib
II,12,SUMATERA UTARA
"",12.01, 1 KAB. TAPANULI TENGAH
"",12.01.01, 1 Barus
"",12.01.02, 2 Sorkam
"",12.01.03, 3 Pandan
"",12.01.04, 4 Pinangsori
"",12.01.05, 5 Manduamas
"",12.01.06, 6 Kolang
"",12.01.07, 7 Tapian Nauli
"",12.01.08, 8 Sibabangun
"",12.01.09, 9 Sosor Gadong
"",12.01.10, 10 Sorkam Barat
"","", 11
"",12.01.11,Sirandorung
12.01.12, 12 Andam Dewi
12.01.13, 13 Sitahuis
12.01.14, 14 Tukka
12.01.15, 15 Badiri
12.01.16, 16 Pasaribu Tobing
12.01.17, 17 Barus Utara
12.01.18, 18 Suka Bangun
12.01.19, 19 Lumut
12.01.20, 20 Sarudik
12.02, 2 KAB. TAPANULI UTARA
12.02.01, 1 Tarutung
12.02.02, 2 Siatas Barita
12.02.03, 3 Adian Koting
12.02.04, 4 Sipoholon
12.02.05, 5 Pahae Julu
12.02.06, 6 Pahae Jae
12.02.07, 7 Simangumban
12.02.08, 8 Purba Tua
12.02.09, 9 Siborong-Borong
12.02.10, 10 Pagaran
12.02.11, 11 Parmonangan
12.02.12, 12 Sipahutar
12.02.13, 13 Pangaribuan
12.02.14, 14 Garoga
12.02.15, 15 Muara
12.03, 3 KAB. TAPANULI SELATAN
12.03.01, 1 Angkola Barat
12.03.02, 2 Batang Toru
12.03.03, 3 Angkola Timur
12.03.04, 4 Sipirok
12.03.05, 5 Saipar Dolok Hole
12.03.06, 6 Angkola Selatan
12.03.07, 7 Batang Angkola
"",Padang Bolak
"",Dolok
"",Barumun Tengah
"",Sosopan
"",Barumun
"",Sosa
"", 8
12.03.14,Arse
"",Halongonan
"",Padang  Bolak Julu
"",Batang Onang
"",Dolok Sigompulon
"",Huta Raja Tinggi
12.03.20, 9 Marancar
12.03.21, 10 Sayur Matinggi
12.03.22, 11 Aek Bilah
"",Portibi
"",Huristak
"",Simangambat
"",Ulu Barumun
"",Lubuk Barumun
"",Batang Lubu Sutam
12.03.29, 12 Muara Batang Toru
12.03.30, 13 Tano Tombangan Angkola
12.03.31, 14 Angkola Sangkunur
12.04, 4 KAB. NIAS
"",Gunung Sitoli
"",Tuhemberua
"",Lahewa
"",Alasa
12.04.05, 1 Hiliduho
12.04.06, 2 Gido
"",Lolofitu Moi
"",Mandrehe
"",Sirombu
12.04.10, 3 Idano Gawo
12.04.11, 4 Bawolato
"",Namohalu Esiwa
"",Lotu
"",Afulu
"",Gunungsitoli Selatan
"",Gunungsitoli Utara
"",Gunungsitoli Idanoi/ Idanoi
"",Mandrehe Utara
"",Gunungsitoli Alo'oa
12.04.20, 5 Hiliserangkai
12.04.21, 6 Botomuzoi
"",Mandrehe Barat
"",Moro'o
"",Ulu Moro'o/ Ulu Narwo
"",Lahewa Timur
"",Alasa Talumuzoi
12.04.27, 7 Ulugawo
12.04.28, 8 Ma'u
12.04.29, 9 Somolo-Molo
"",Sawo
"",Lahomi/ Gahori
"",Sitolu Ori
"",Tugala Oyo
"",Gunungsitoli Barat
12.04.35, 10 Sogae'adu
12.05, 5 KAB. LANGKAT
12.05.01, 1 Bahorok
12.05.02, 2 Salapian
12.05.03, 3 Kuala
12.05.04, 4 Sei Bingei
12.05.05, 5 Binjai
12.05.06, 6 Selesai
12.05.07, 7 Stabat
12.05.08, 8 Wampu
12.05.09, 9 Secanggang
12.05.10, 10 Hinai
12.05.11, 11 Tanjung Pura
12.05.12, 12 Padang Tualang
12.05.13, 13 Gebang
12.05.14, 14 Babalan
12.05.15, 15 Pangkalan Susu
12.05.16, 16 Besitang
12.05.17, 17 Sei Lepan
12.05.18, 18 Brandan Barat
12.05.19, 19 Batang Serangan
12.05.20, 20 Sawit Seberang
12.05.21, 21 Sirapit
12.05.22, 22 Kutambaru
12.05.23, 23 Pematang Jaya
12.06, 6 KAB. KARO
12.06.01, 1 Kabanjahe
"", 2
12.06.02,Berastagi
12.06.03, 3 Barusjahe
12.06.04, 4 Tigapanah
12.06.05, 5 Merek
12.06.06, 6 Munte
12.06.07, 7 Juhar
12.06.08, 8 Tigabinanga
12.06.09, 9 Laubaleng
12.06.10, 10 Mardingding
12.06.11, 11 Payung
12.06.12, 12 Simpang Empat
12.06.13, 13 Kutabuluh
12.06.14, 14 Dolat Rayat
12.06.15, 15 Merdeka
12.06.16, 16 Naman Teran
12.06.17, 17 Tiganderket
12.07, 7 KAB. DELI SERDANG
12.07.01, 1 Gunung Meriah
12.07.02, 2 Tanjung Morawa
12.07.03, 3 Sibolangit
12.07.04, 4 Kutalimbaru
12.07.05, 5 Pancur Batu
12.07.06, 6 Namorambe
12.07.07, 7 Sibiru-biru
12.07.08, 8 STM Hilir
12.07.09, 9 Bangun Purba
"",Kutarih
"",Dolok Masihul
"",Sipis-pis
"",Dolok Merawan
"",Tebing Tinggi
"",Bandar Khalifah
"",Tanjung Beringin
"",Teluk Mengkudu
"",Sei. Rampah
12.07.19, 10 Galang
12.07.20, 11 STM Hulu
12.07.21, 12 Patumbak
12.07.22, 13 Deli Tua
12.07.23, 14 Sunggal
"", 15
12.07.24,Hamparan Perak
12.07.25, 16 Labuhan Deli
12.07.26, 17 Percut Sei Tuan
12.07.27, 18 Batang Kuis
12.07.28, 19 Lubuk Pakam
"",Perbaungan
"",Pantai Cermin
12.07.31, 20 Pagar Merbau
12.07.32, 21 Pantai Labu
12.07.33, 22 Beringin
12.08, 8 KAB. SIMALUNGUN
12.08.01, 1 Siantar
12.08.02, 2 Gunung Malela
12.08.03, 3 Gunung Maligas
12.08.04, 4 Panei
12.08.05, 5 Panombeian Pane
12.08.06, 6 Jorlang Hataran
12.08.07, 7 Raya Kahean
12.08.08, 8 Bosar Maligas
12.08.09, 9 Sidamanik
12.08.10, 10 Pematang Sidamanik
12.08.11, 11 Tanah Jawa
12.08.12, 12 Hatonduhan
12.08.13, 13 Dolok Panribuan
12.08.14, 14 Purba
12.08.15, 15 Haranggaol Horison
12.08.16, 16 Girsang Sipangan Bolon
12.08.17, 17 Dolok Batu Nanggar
12.08.18, 18 Huta Bayu Raja
12.08.19, 19 Jawa Maraja Bah Jambi
12.08.20, 20 Dolok Pardamean
12.08.21, 21 Pematang Bandar
12.08.22, 22 Bandar Huluan
12.08.23, 23 Bandar
12.08.24, 24 Bandar Masilam
12.08.25, 25 Silimakuta
12.08.26, 26 Dolok Silau
12.08.27, 27 Silou Kahean
12.08.28, 28 Tapian Dolok
12.08.29, 29 Raya
"", 30
12.08.30,Ujung Padang
12.08.31, 31 Pamatang Silima Huta
12.09, 9 KAB. ASAHAN
"",Madang beras
"",Air Putih
"",Lima Puluh
"",Tanjung Tiram
"",Talawi
"",Sei Suka
"",Sei Balai
12.09.08, 1 Meranti
12.09.09, 2 Air Joman
12.09.10, 3 Tanjung Balai
12.09.11, 4 Sei Kepayang
12.09.12, 5 Simpang Empat
12.09.13, 6 Air Batu
12.09.14, 7 Pulau Rakyat
12.09.15, 8 Bandar Pulau
12.09.16, 9 Buntu Pane
12.09.17, 10 Bandar Pasir Mandoge
12.09.18, 11 Aek Kuasan
12.09.19, 12 Kota Kisaran Barat
12.09.20, 13 Kota Kisaran Timur
12.09.21, 14 Aek Songsongan
12.09.22, 15 Rahunig
12.09.23, 16 Sei Dadap
12.09.24, 17 Sei Kepayang Barat
12.09.25, 18 Sei Kepayang Timur
12.09.26, 19 Tinggi Raja
12.09.27, 20 Setia Janji
12.09.28, 21 Silau Laut
12.09.29, 22 Rawang Panca Arga
12.09.30, 23 Pulo Bandring
12.09.31, 24 Teluk Dalam
12.09.32, 25 Aek Ledong
12.10, 10 KAB. LABUHANBATU
12.10.01, 1 Rantau Utara
